review_case_id,review_type,calibration_target,corpus_label,source_kind,task_id,run_type,agent_id,run_label,fixture_id,entry_id,submission_dir,manifest_path,file,location,rule_id,severity,message,context,expected_fixture_status,expected_rule_ids,review_status,review_decision,review_notes
finding::fixture::synthetic_random_split_positive::001,finding_review,true_positive_or_false_positive_check,curated_fixtures,curated_fixture,synthetic_market_direction_v0,fixture,synthetic_random_split_positive,synthetic_random_split_positive,synthetic_random_split_positive,fixture::synthetic_random_split_positive,audits/methodology_calibration/fixtures/synthetic_random_split_positive,,model.py,line:3,random_train_test_split,error,Random train/test split is usually invalid for temporal financial tasks.,"X_train, X_test, y_train, y_test = train_test_split(X, y, shuffle=True)",should_flag,"random_train_test_split, explicit_shuffle",template,,
finding::fixture::synthetic_random_split_positive::002,finding_review,true_positive_or_false_positive_check,curated_fixtures,curated_fixture,synthetic_market_direction_v0,fixture,synthetic_random_split_positive,synthetic_random_split_positive,synthetic_random_split_positive,fixture::synthetic_random_split_positive,audits/methodology_calibration/fixtures/synthetic_random_split_positive,,model.py,line:3,explicit_shuffle,error,Explicit shuffling can break temporal ordering.,"X_train, X_test, y_train, y_test = train_test_split(X, y, shuffle=True)",should_flag,"random_train_test_split, explicit_shuffle",template,,
finding::fixture::front_end_future_join_positive::001,finding_review,true_positive_or_false_positive_check,curated_fixtures,curated_fixture,front_end_spread_widening_v0,fixture,front_end_future_join_positive,front_end_future_join_positive,front_end_future_join_positive,fixture::front_end_future_join_positive,audits/methodology_calibration/fixtures/front_end_future_join_positive,,model.py,line:1,future_aligned_merge_join,error,Merge/join logic appears to reference future-aligned data for a short-horizon task and should be audited for timestamp leakage.,"joined = features.merge(next_day_policy_frame, on=""date"", how=""left"")",should_flag,future_aligned_merge_join,template,,
finding::fixture::front_end_forward_merge_asof_positive::001,finding_review,true_positive_or_false_positive_check,curated_fixtures,curated_fixture,front_end_spread_widening_v0,fixture,front_end_forward_merge_asof_positive,front_end_forward_merge_asof_positive,front_end_forward_merge_asof_positive,fixture::front_end_forward_merge_asof_positive,audits/methodology_calibration/fixtures/front_end_forward_merge_asof_positive,,model.py,line:1,forward_merge_asof_direction,error,"`merge_asof(..., direction=""forward"")` can pull future rows into a short-horizon prediction context and should be justified explicitly.","joined = pd.merge_asof(features, macro, on=""date"", direction=""forward"")",should_flag,forward_merge_asof_direction,template,,
finding::fixture::treasury_forbidden_target_feature_positive::001,finding_review,true_positive_or_false_positive_check,curated_fixtures,curated_fixture,yield_direction_treasury10y_v0,fixture,treasury_forbidden_target_feature_positive,treasury_forbidden_target_feature_positive,treasury_forbidden_target_feature_positive,fixture::treasury_forbidden_target_feature_positive,audits/methodology_calibration/fixtures/treasury_forbidden_target_feature_positive,,model.py,line:1,task_forbidden_feature_reference__next_day_change_bp,error,"Task-forbidden column `next_day_change_bp` appears in feature selection, dataframe slicing, or merge logic and should be audited for label leakage.","feature_columns = [""dgs10_level"", ""next_day_change_bp""]",should_flag,task_forbidden_feature_reference__next_day_change_bp,template,,
clean::pilot_agents::front_end_spread_widening_v0::agent::treasury_front_end_research_sweep_env_agent::pilot_agent_front_end_001_seed_31,clean_control_review,true_negative_or_false_negative_check,pilot_agents,run_submission,front_end_spread_widening_v0,agent,treasury_front_end_research_sweep_env_agent,pilot_agent_front_end_001_seed_31,,pilot_agents::front_end_spread_widening_v0::agent::treasury_front_end_research_sweep_env_agent::pilot_agent_front_end_001_seed_31,runs/suites/pilot_agents_v0/front_end_spread_widening_v0/treasury_front_end_research_sweep_env_agent/pilot_agent_front_end_001_seed_31,runs/suites/pilot_agents_v0/front_end_spread_widening_v0/treasury_front_end_research_sweep_env_agent/pilot_agent_front_end_001_seed_31/run_manifest.json,notebook.ipynb,,,,Clean-control submission selected for manual false-negative review.,,should_stay_clean_control,,template,,
clean::pilot_baselines::front_end_spread_widening_v0::baseline::extra_trees_baseline::pilot_front_end_001_seed_31,clean_control_review,true_negative_or_false_negative_check,pilot_baselines,run_submission,front_end_spread_widening_v0,baseline,extra_trees_baseline,pilot_front_end_001_seed_31,,pilot_baselines::front_end_spread_widening_v0::baseline::extra_trees_baseline::pilot_front_end_001_seed_31,runs/suites/pilot_baselines_v0/front_end_spread_widening_v0/extra_trees_baseline/pilot_front_end_001_seed_31,runs/suites/pilot_baselines_v0/front_end_spread_widening_v0/extra_trees_baseline/pilot_front_end_001_seed_31/run_manifest.json,notebook.ipynb,,,,Clean-control submission selected for manual false-negative review.,,should_stay_clean_control,,template,,
clean::pilot_agents::synthetic_event_response_v0::agent::event_rule_env_agent::pilot_agent_event_001_seed_23,clean_control_review,true_negative_or_false_negative_check,pilot_agents,run_submission,synthetic_event_response_v0,agent,event_rule_env_agent,pilot_agent_event_001_seed_23,,pilot_agents::synthetic_event_response_v0::agent::event_rule_env_agent::pilot_agent_event_001_seed_23,runs/suites/pilot_agents_v0/synthetic_event_response_v0/event_rule_env_agent/pilot_agent_event_001_seed_23,runs/suites/pilot_agents_v0/synthetic_event_response_v0/event_rule_env_agent/pilot_agent_event_001_seed_23/run_manifest.json,notebook.ipynb,,,,Clean-control submission selected for manual false-negative review.,,should_stay_clean_control,,template,,
clean::pilot_baselines::synthetic_event_response_v0::baseline::event_rule_baseline::pilot_event_001_seed_23,clean_control_review,true_negative_or_false_negative_check,pilot_baselines,run_submission,synthetic_event_response_v0,baseline,event_rule_baseline,pilot_event_001_seed_23,,pilot_baselines::synthetic_event_response_v0::baseline::event_rule_baseline::pilot_event_001_seed_23,runs/suites/pilot_baselines_v0/synthetic_event_response_v0/event_rule_baseline/pilot_event_001_seed_23,runs/suites/pilot_baselines_v0/synthetic_event_response_v0/event_rule_baseline/pilot_event_001_seed_23/run_manifest.json,notebook.ipynb,,,,Clean-control submission selected for manual false-negative review.,,should_stay_clean_control,,template,,
clean::pilot_agents::synthetic_market_direction_v0::agent::market_research_sweep_env_agent::pilot_agent_market_001_seed_11,clean_control_review,true_negative_or_false_negative_check,pilot_agents,run_submission,synthetic_market_direction_v0,agent,market_research_sweep_env_agent,pilot_agent_market_001_seed_11,,pilot_agents::synthetic_market_direction_v0::agent::market_research_sweep_env_agent::pilot_agent_market_001_seed_11,runs/suites/pilot_agents_v0/synthetic_market_direction_v0/market_research_sweep_env_agent/pilot_agent_market_001_seed_11,runs/suites/pilot_agents_v0/synthetic_market_direction_v0/market_research_sweep_env_agent/pilot_agent_market_001_seed_11/run_manifest.json,notebook.ipynb,,,,Clean-control submission selected for manual false-negative review.,,should_stay_clean_control,,template,,
